item_id,name,category,slot,atk,def,price_buy,price_sell,effect,notes,last_verified,era,obtain,damage_mul
item_001,やくそう,道具,,,,,,仲間ひとりのHPを30〜回復,,2026/02/07,,,
item_002,上やくそう,道具,,,,,,仲間ひとりのHPを50〜回復,,2026/02/07,,,
item_003,どくけしそう,道具,,,,,,仲間ひとりの毒を治す,,2026/02/07,,,
item_004,せいすい,道具,,,,,,弱い魔物を寄せつけない水,,2026/02/07,,,
item_005,キメラのつばさ,道具,,,,,,戦闘中に使うと必ず逃げられる,,2026/02/07,,,
item_006,せかいじゅの葉,道具,,,,,,仲間ひとりを生き返らせる,,2026/02/07,,,
item_007,せかいじゅのしずく,道具,,,,,,仲間全員のHPを完全に回復,,2026/02/07,,,
item_008,まんげつそう,道具,,,,,,仲間ひとりのマヒや眠りを治す,,2026/02/07,,,
item_009,まほうの小ビン,道具,,,,,,仲間ひとりのMPを20〜回復,,2026/02/07,,,
item_010,まほうのせいすい,道具,,,,,,仲間ひとりのMPを50〜回復,,2026/02/07,,,
item_011,エルフののみぐすり,道具,,,,,,仲間ひとりのMPを完全に回復,,2026/02/07,,,
item_012,アミットせんべい,道具,,,,,,仲間ひとりのHPを10〜回復,,2026/02/07,,,
item_013,アミットまんじゅう,道具,,,,,,仲間ひとりのHPを10〜回復,,2026/02/07,,,
item_014,奇跡の石,道具,,,,,,仲間ひとりのHPを20〜回復,,2026/02/07,,,
item_015,けんじゃの石,道具,,,,,,仲間全員のHPを80〜回復,,2026/02/07,,,
item_016,ちからのたね,道具,,,,,,ちからが少しだけ上がる,,2026/02/07,,,
item_017,超ちからのたね,道具,,,,,,ちからが20上がる種,,2026/02/07,,,
item_018,すばやさのたね,道具,,,,,,すばやさが少しだけ上がる種,,2026/02/07,,,
item_019,超すばやさのたね,道具,,,,,,すばやさが20上がる種,,2026/02/07,,,
item_020,まもりのたね,道具,,,,,,みのまもりが少しだけ上がる種,,2026/02/07,,,
item_021,超まもりのたね,道具,,,,,,みのまもりが20上がる種,,2026/02/07,,,
item_022,命のきのみ,道具,,,,,,さいだいHPが少しだけ上がる,,2026/02/07,,,
item_023,超命のきのみ,道具,,,,,,さいだいHPが20上がる実,,2026/02/07,,,
item_024,ふしぎなきのみ,道具,,,,,,さいだいMPが少しだけ上がる,,2026/02/07,,,
item_025,超ふしぎなきのみ,道具,,,,,,さいだいMPが20上がる実,,2026/02/07,,,
item_026,うつくしそう,道具,,,,,,みりょくが少しだけ増える草,,2026/02/07,,,
item_027,超うつくしそう,道具,,,,,,みりょくが20上がる草,,2026/02/07,,,
item_028,どくがのこな,道具,,,,,,敵1体をマヒさせる毒粉,,2026/02/07,,,
item_029,命の石,道具,,,,,,持ち主の代わりに死の攻撃を受ける身代わりの石,,2026/02/07,,,
item_030,うまのふん,道具,,,,,,かぐわしいウマの落としモノ,,2026/02/07,,,
